"_id","date","timeStamp","iot_deviceid","bms_deviceid","bms_temperature_max","bms_temperature_min","bms_pack_capacity","battery_voltage","battery_current","can_communication_flag","battery_soc","battery_soh","cell_voltages","cell_temp","no_of_cells","pack_total_capacity","cell_voltage_difference","charge_discharge_cycles","charge_discharge_status","fet_charge_state","fet_discharge_state","high_voltage_alarm","low_voltage_alarm","charge_over_current_alarm","discharge_over_current_alarm","charge_high_temperature_alarm","charge_low_temperature_alarm","discharge_high_temperature_alarm","discharge_low_temperature_alarm","total_high_pressure_alarm","total_low_pressure_alarm","latitude","longitude","altitude","speed"
"652c345bc15b54eb4ba64894","2023-10-16","00:20:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795484","73.782076","","0.00"
"652c3497c15b54eb4ba64896","2023-10-16","00:21:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795463","73.782060","","0.00"
"652c3497c15b54eb4ba64898","2023-10-16","00:21:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795463","73.782060","","0.00"
"652c34d4c15b54eb4ba6489a","2023-10-16","00:22:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795511","73.782039","","0.00"
"652c34d4c15b54eb4ba6489c","2023-10-16","00:22:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795511","73.782039","","0.00"
"652c3510c15b54eb4ba6489e","2023-10-16","00:23:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795502","73.781967","","0.00"
"652c3510c15b54eb4ba648a0","2023-10-16","00:23:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795502","73.781967","","0.00"
"652c354cc15b54eb4ba648a2","2023-10-16","00:24:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795502","73.781967","","0.00"
"652c354cc15b54eb4ba648a4","2023-10-16","00:24:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795502","73.781967","","0.00"
"652c3588c15b54eb4ba648a6","2023-10-16","00:25:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795462","73.781903","","0.00"
"652c3588c15b54eb4ba648a8","2023-10-16","00:25:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795462","73.781903","","0.00"
"652c35c4c15b54eb4ba648aa","2023-10-16","00:26:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795462","73.781903","","0.00"
"652c35c4c15b54eb4ba648ac","2023-10-16","00:26:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795462","73.781903","","0.00"
"652c3600c15b54eb4ba648ae","2023-10-16","00:27:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.00","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795462","73.781903","","0.00"
"652c3600c15b54eb4ba648b0","2023-10-16","00:27:04","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.00","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795462","73.781903","","0.00"
"652c3680c15b54eb4ba648b2","2023-10-16","00:29:12","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795455","73.782067","","0.00"
"652c3680c15b54eb4ba648b4","2023-10-16","00:29:12","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795455","73.782067","","0.00"
"652c36bcc15b54eb4ba648b6","2023-10-16","00:30:12","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795455","73.782067","","0.00"
"652c36bcc15b54eb4ba648b8","2023-10-16","00:30:12","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795455","73.782067","","0.00"
